"Main category","Type","Sub category","Group"
,,"Kunst im öffentlichen Raum schadhaft","Ordnungsamt"
,,"Fahrradständer schadhaft","Gebäude- und Grundstücksmanagement"
,,"Müllerablagerung ","Ordnungsamt"
,,"Poller/Planke/Absperrelement schadhaft","Gebäude- und Grundstücksmanagement"
,,"Reiten abseits der Reitwege","Ordnungsamt"
,,"Schutzhütte schadhaft","Ordnungsamt"
,,"Sitzgelegenheit schadhaft","Ordnungsamt"
,,"Spielgerät schadhaft","Gebäude- und Grundstücksmanagement"
,,"wildes Campen","Ordnungsamt"
,,"verbotenes Fahren mit Kfz","Ordnungsamt"
,,"verbotenes Feuermachen","Ordnungsamt"
,,"dauerhaftes Falschparken","Ordnungsamt"
,,"Wegereinigung fehlt","Ordnungsamt"
"Winterdienst","problem",,
,,"Gehweg nicht geräumt","Ordnungsamt"
,,"Radweg nicht geräumt","Ordnungsamt"
,,"Straße nicht geräumt","Ordnungsamt"
,,"verbotener Streusalzeinsatz","Ordnungsamt"
"Wasser","problem",,
,,"Gehweg/Radweg/Straße überflutet","Gebäude- und Grundstücksmanagement"
,,"Gewässerverschmutzung","Gebäude- und Grundstücksmanagement"
,,"Grabenpflege","Gebäude- und Grundstücksmanagement"
,,"Grünanlage überflutet","Gebäude- und Grundstücksmanagement"
,,"Gully verstopft","Gebäude- und Grundstücksmanagement"
"Barrierefreiheit","idea",,
,,"Ampel behindertengerecht gestalten","Bauamt"
,,"Ampelschaltung ändern","Gebäude- und Grundstücksmanagement"
,,"Bordstein absenken","Bauamt"
,,"Zugang rollstuhlgerecht gestalten","Bauamt"
"Fahrradverkehr","idea",,
,,"Ampelschaltung ändern","Gebäude- und Grundstücksmanagement"
,,"Beleuchtung verändern","Gebäude- und Grundstücksmanagement"
,,"Beschilderung/Markierung ändern","Gebäude- und Grundstücksmanagement"
,,"Beschilderung/Markierung einführen","Bauamt"
,,"Bordstein absenken","Bauamt"
,,"Fahrradständer aufstellen","Gebäude- und Grundstücksmanagement"
"Fußgänger","idea",,
,,"Papierkorb/Abfalleimer aufstellen","Gebäude- und Grundstücksmanagement"
,,"Ampelschaltung ändern","Gebäude- und Grundstücksmanagement"
,,"Beleuchtung verändern","Gebäude- und Grundstücksmanagement"
,,"Beschilderung/Markierung ändern","Ordnungsamt"
,,"Beschilderung/Markierung einführen","Ordnungsamt"
,,"Bordstein absenken","Bauamt"
,,"Sitzgelegenheit aufstellen","Gebäude- und Grundstücksmanagement"
"Öffentlicher Nahverkehr","idea",,
,,"Fahrplan ändern","Gebäude- und Grundstücksmanagement"
,,"Haltestelle verlegen","Gebäude- und Grundstücksmanagement"
,,"Linienführung ändern","Gebäude- und Grundstücksmanagement"
"Öffentliche Einrichtungen/Beleuchtung","idea",,
,,"Papierkorb/Abfalleimer aufstellen","Gebäude- und Grundstücksmanagement"
,,"Beleuchtung verändern","Gebäude- und Grundstücksmanagement"
,,"Fahrradständer aufstellen","Gebäude- und Grundstücksmanagement"
,,"Hundetoilette aufstellen","Ordnungsamt"
,,"Recycling-Container aufstellen","Ordnungsamt"
,,"Sitzgelegenheit aufstellen","Ordnungsamt"
,,"Spielplatz verändern","Ordnungsamt"
"Straßenverkehr","idea",,
,,"Ampelschaltung ändern","Gebäude- und Grundstücksmanagement"
,,"Beschilderung/Markierung ändern","Ordnungsamt"
,,"Beschilderung/Markierung einführen","Ordnungsamt"
"Wald","idea",,
,,"Papierkorb/Abfalleimer aufstellen","Gebäude- und Grundstücksmanagement"
,,"Beschilderung/Markierung ändern","Ordnungsamt"
,,"Beschilderung/Markierung einführen","Ordnungsamt"
